###❝Корень эсперанто❞, ❝(полностью тот же) корень эсперанто❞   в строке означает、что хотя он имеет тот же приоритет、что и соответствующая строка замены、на практике замена строки (иероглифов) не выполняется.
Корень эсперанто##, руби с японским переводом##
adiaux,прощай
bis,бис
hura,ура!
uxa,уа!
kia,какой
tia,такой
cxia,всякий
kies,чей
nenia,никакой
ali,иной
alt,высокий
bel,красивый
bon,хороший
jun,молодой
nov,новый
sam,тот же
fort,сильный
grav,важный
kelk,несколько
last,последний
long,длинный
mult,много
plen,полный
ricx,богатый
rugx,красный
facil,легкий
grand,большой
liber,свободный
rapid,быстрый
felicx,счастливый
proksim,близкий
fru,рано
pur,чистый
sol,единственный
ver,истинный
cert,уверен
nigr,чёрный
varm,тёплый
afabl,дружелюбный
blank,белый
dolcx,сладкий
neces,необходимый
propr,собств.
simpl,простой
dekstr,правый
kuragx,смелый
trankvil,спокойный
blu,синий
dik,толстый
gaj,весёлый
hel,яркий
kar,дорогой
lac,усталый
san,здоровый
sat,сыт
just,справедливый
prav,правильный
pret,готовый
util,полезный
verd,зелёный
apart,отдельный
atent,внимательный
fremd,чужой
gxust,правильный
komun,общий
largx,широкий
agrabl,приятный
divers,разный
intern,внутренний
suficx,достаточный
kontent,доволен
profund,глубокий
mol,мягкий
pez,тяжёлый
sek,сухой
brun,коричневый
egal,равный
flav,жёлтый
griz,серый
kulp,виновный
lert,умелый
rekt,прямой
sagx,мудрый
vast,широкий
ceter,остальной
fresx,свежий
simil,похожий
kapabl,способный
serioz,серьёзный
efektiv,реальный
ordinar,обычный
akr,острый
fam,известный
ies,чей-то
avar,жадный
dens,густой
eben,ровный
fier,гордый
firm,твердый
nepr,непременно
plat,плоский
plur,много
surd,глухой
vigl,живой
fidel,верный
kviet,спокойный
matur,зрелый
sankt,святой
spert,опытный
subit,внезапный
tauxg,подходящий
honest,честный
konven,подходящий
plur,много
preciz,точный
strang,странный
delikat,нежный
gxentil,вежливый
komfort,удобный
pacienc,терпеливый
special,особый
gxeneral,общий
konstant,постоянный
lam,хромой
mut,немой
nud,голый
pal,бледный
ruz,хитрый
van,тщетный
acid,кислый
glat,гладкий
kler,образованный
krud,сырой
mild,мягкий
abund,обильный
blind,слепой
blond,блондин
cxarm,очаровательный
etern,вечный
favor,благоприятный
graci,изящный
humil,смиренный
lauxt,громкий
sever,строгий
stult,глупый
fortik,крепкий
frenez,сумасшедший
kurioz,странный
privat,частный
sincer,искренний
evident,очевидный
oportun,удобный
prudent,благоразумный
sci/vol##,sci/vol##
diligent,усердный
proksim/um##,proksim/um##
ard,пылающий
avid,жадный
brav,смелый
ebri,пьян
krut,крутой
naiv,наивный
nobl,благородный
sobr,умеренный
humid,влажный
ident,идентичный
komik,смешной
kripl,калека
kruel,жестокий
moder,умеренный
sagac,проницательный
seren,спокойный
sprit,остроумный
akurat,точный
fervor,рьяный
inklin,склонный
jxaluz,ревнивый
kapric,капризный
modern,современный
modest,скромный
nenies,ничей
normal,нормальный
sovagx,дикий
ekstrem,крайний
elegant,элегантный
eminent,выдающийся
komplet,полный
oficial,официальный
perfekt,идеальный
probabl,вероятный
reciprok,взаимный
indiferent,безразличный
inteligent,умный
amar,горький
imun,устойчивый
real,реальный
ties,того
unik,уникальный
vant,тщеславный
virg,девственный
aktiv,активный
civil,гражданский
cxies,всех
elast,упругий
human,гуманный
intim,близкий
kaduk,дряхлый
koket,кокетливый
lojal,верный
malic,злобный
mir/ind##,mir/ind##
rauxk,хриплый
rigid,жёсткий
sekur,безопасный
solen,торжественный
tener,нежный
valid,действительный
abrupt,резкий
absurd,абсурдный
aktual,актуальный
arbitr,произвольный
auxdac,смелый
ekzakt,точный
furioz,яростный
graved,беременная
klasik,классический
majest,величественный
nervoz,нервный
oblikv,наклонный
obstin,упрямый
plen/agx##,plen/aĝ##
social,социальный
subtil,тонкий
tragik,трагичный
absolut,абсолютный
kontant,наличный
popular,популярный
relativ,относительный
sin/don##,sin/don##
solidar,солидарный
vegetar,вегетарианский
familiar,близкий
grandioz,величественный
kolektiv,коллективный
sin/gard##,sin/gard##
kompetent,компетентный
universal,всеобщий
kvit,свободный
miop,близорукий
punc,алый
ranc,прогорклый
cxast,целомудренный
ekstr,дополнительный
masiv,массивный
antikv,древний
arogant,высокомерный
konform,соответствующий
trivial,пустяковый
elokvent,красноречивый
kriminal,преступный
predikat,сказуемое
akut,острый
dual,двойной
hirt,торчащий
kalv,лысый
banal,банальный
cinik,циничный
gotik,готический
inert,инертный
obtuz,тупой
okult,оккультный
pasiv,пассивный
rigor,строгий
stoik,стойкий
analog,аналогичный
anonim,анонимный
arkaik,устаревший
diafan,прозрачный
efemer,мимолётный
erotik,эротический
fiktiv,вымышленный
formal,формальный
frivol,легкомысленный
intens,интенсивный
invers,обратный
konciz,краткий
konkav,вогнутый
mistik,мистический
neuxtr,нейтр.
vulgar,грубый
akcesor,второстепенный
apokrif,апокрифический
arhxaik,архаичный
burlesk,бурлескный
decimal,десятичный
diskret,сдержанный
fanatik,фанатичный
grotesk,гротескный
konkret,конкретный
kontinu,непрерывный
liberal,либеральный
monoton,монотонный
negativ,отрицательный
nominal,номинальный
pozitiv,положительный
radikal,радикальный
skeptik,скептичный
solvent,платежеспособный
abstrakt,абстрактный
auxtonom,автономный
eventual,возможный
inkluziv,включающий
neuxtral,нейтральный
objektiv,объективный
ortodoks,ортодоксальный
primitiv,примитивный
provizor,временный
racional,рациональный
romantik,романтичный
sinoptik,обзорный
spontane,спонтанный
auxtentik,подлинный
definitiv,окончательный
ekskluziv,исключительный
korelativ,корреляторный
respektiv,соответствующий
subjektiv,субъективный
transitiv,переходный
spekulativ,спекулятивный
impertinent,наглый
konservativ,консервативный
sentimental,сентиментальный
dek,десять
mil,тысяча
sep,семь
ses,шесть
tri,три
unu,один
cent,сто
kvar,четыре
kvin,пять
naux,девять
aux,или
nek,ни
sed,но
kvankam,хотя
plus,плюс
minus,минус
cxe,у
kun,с вместе
per,через
pri,о
pro,из-за
sen,без
sub,под
sur,на
tra,через
apud,рядом
krom,кроме
laux,согласно
post,после
inter,между
super,над
trans,через
antaux,перед
ekster,вне
preter,мимо
kontraux,против
malgraux,несмотря
gxi,его
ili,их
kio,что
oni,люди
sxi,её
tio,это
cxio,всё
nenio,ничто
tio cxi##,tio ĉi##
dis,раз-
mal,противоположный
cxef,главный
eks,бывший
mis,неправильный
pra,древний
dev,должен
dir,сказать
don,дать
est,быть
far,делать
fin,завершить
hav,иметь
kon,знать
leg,читать
lev,поднять
met,класть
mov,двигать
pet,просить
pov,мочь
rid,смеяться
sci,знать
sid,сидеть
ten,держать
ven,приходить
vid,видеть
viv,живой
vol,хотеть
gxoj,радоваться
help,помочь
kred,верить
lern,учиться
logx,жить
mort,умереть
okaz,случиться
port,нести
pren,брать
sekv,следовать
send,послать
star,стоять
dezir,желать
labor,работать
milit,воевать
montr,показать
parol,говорить
ricev,получать
skrib,писать
sxajn,казаться
vetur,ехать
demand,спрашивать
komenc,начать
kompren,понять
respond,отвечать
bat,бить
fal,падать
kri,кричать
kur,бежать
las,позволить
lum,светить
mir,удивляться
pag,платить
pas,пройти
reg,править
son,звучать
tim,бояться
tir,тянуть
auxd,слышать
brul,гореть
dank,благодарить
dorm,спать
ferm,закрыть
flug,летать
halt,остановить
jxet,бросать
kant,петь
kost,стоить
mank,недоставать
nask,рожать
okup,занимать
pens,думать
perd,терять
prem,давить
prov,пытаться
sent,чувствовать
turn,вращать
acxet,купить
atend,ждать
bezon,нуждаться
kresk,расти
mangx,есть
memor,помнить
sercx,искать
trink,пить
konsil,советовать
permes,разрешать
postul,требовать
rakont,рассказывать
rigard,смотреть
rimark,заметить
sxangx,изменить
vojagx,путешествовать
konstru,строить
prezent,представить
renkont,встретить
bru,шуметь
dub,сомневаться
lav,мыть
lud,играть
pen,стараться
vek,будить
vok,звать
aper,появиться
bril,светить
erar,ошибаться
fest,праздновать
frap,бить
gajn,выиграть
kapt,ловить
kasx,скрыть
kovr,покрыть
kuir,готовить
kusx,лежать
pasx,шагать
plor,плакать
romp,ломать
salt,прыгать
serv,служить
tusx,касаться
vend,продавать
zorg,заботиться
batal,борьба
elekt,выбирать
esper,надеяться
koler,злиться
mezur,измерять
opini,считать
ordon,приказывать
plend,жаловаться
ripoz,отдыхать
salut,приветствовать
sufer,страдать
akcept,принимать
forges,забыть
kalkul,считать
komerc,торговать
konduk,вести
pardon,простить
silent,молчать
trancx,резать
konsent,согласиться
auxskult,слушать
ban,купать
flu,течь
kre,создавать
mok,насмехаться
amuz,развлекать
cxes,прекратить
efik,эффективный
gard,охранять
jugx,судить
klin,наклонить
pend,висеть
pusx,толкать
spir,дышать
stud,учить
sxat,ценить
tond,стричь
traf,попасть
ating,достичь
decid,решать
estim,уважать
invit,пригласить
kurac,лечить
marsx,маршировать
placx,нравиться
ripet,повторять
sxlos,запереть
sxtel,красть
vizit,посетить
arangx,устроить
ekzist,существовать
instru,учить
intenc,намерение
kompat,жалеть
prefer,предпочитать
prepar,готовить
promen,гулять
promes,обещать
sukces,успех
konserv,сохранять
bol,кипеть
kis,целовать
obe,подчиняться
paf,стрелять
pel,гнать
pik,колоть
pun,наказать
sav,спасать
tus,кашлять
akir,получить
apog,поддерживать
atak,атаковать
bala,мести
blov,дуть
cxas,охотиться
danc,танцевать
eduk,воспитывать
evit,избегать
fleg,ухаживать
glit,скользить
gvid,вести
gxen,мешать
hejt,отопить
hont,стыдиться
imag,воображать
imit,подражать
komb,расчесывать
mend,заказать
miks,смешивать
nagx,плавать
plug,пахать
pres,печатать
soif,жажда
spez,транзакция
sxir,рвать
trem,дрожать
trov,найти
venk,победить
visx,стирать
volv,свёртывать
anonc,объявить
aprob,одобрять
avert,предупредить
merit,заслуживать
minac,угрожать
pentr,рисовать
posed,владеть
pregx,молиться
rifuz,отказать
rilat,связан
ripar,чинить
skrap,скрести
sxerc,шутить
tromp,обмануть
defend,защищать
desegn,рисовать
esting,тушить
inform,сообщать
kompar,сравнить
kondut,вести себя
konfes,признать
konsci,осознавать
kultur,выращивать
mensog,лгать
rezult,происходить
rikolt,собирать
strecx,натянуть
sxovel,копать
akompan,сопровождать
aparten,принадлежать
bedauxr,сожалеть
konsist,состоять
organiz,организовать
progres,прогрессировать
respekt,уважать
riprocx,упрекать
diferenc,отличаться
rekomend,рекомендовать
korespond,переписываться
enu,скучать
fid,доверять
gxu,наслаждаться
hak,рубить
log,привлечь
pek,грешить
pes,взвесить
raz,брить
dron,тонуть
fajf,свистеть
fand,плавить
